Epoch: 0 Step 0 	Learning rate: 0.100000
Epoch: [0][270/125353]	Time: 0.524 (0.529)	Epoch time [hr]: 0.040 (18.434)	Memory: 10.816 (14.959)	Loss: 3.3515 (10.6826)	Prec@1: 15.088 (11.294)	Prec@5: 38.525 (31.999)
Epoch: [0][280/125353]	Time: 0.523 (0.529)	Epoch time [hr]: 0.041 (18.426)	Memory: 10.816 (14.959)	Loss: 3.2883 (10.4206)	Prec@1: 15.466 (11.434)	Prec@5: 41.943 (32.294)
Epoch: [0][290/125353]	Time: 0.524 (0.529)	Epoch time [hr]: 0.043 (18.419)	Memory: 10.816 (14.959)	Loss: 3.3788 (10.1764)	Prec@1: 14.709 (11.568)	Prec@5: 39.270 (32.554)
Epoch: 0 Step 300 	Learning rate: 0.100000
Epoch: [0][300/125353]	Time: 0.522 (0.529)	Epoch time [hr]: 0.044 (18.412)	Memory: 10.816 (14.959)	Loss: 3.2597 (9.9478)	Prec@1: 15.637 (11.697)	Prec@5: 40.698 (32.829)
Epoch: [0][310/125353]	Time: 0.523 (0.529)	Epoch time [hr]: 0.046 (18.406)	Memory: 10.816 (14.959)	Loss: 3.3256 (9.7336)	Prec@1: 14.978 (11.813)	Prec@5: 39.673 (33.077)
Epoch: [0][320/125353]	Time: 0.524 (0.528)	Epoch time [hr]: 0.047 (18.400)	Memory: 10.816 (14.959)	Loss: 3.2802 (9.5332)	Prec@1: 15.649 (11.922)	Prec@5: 41.272 (33.308)
Epoch: [0][330/125353]	Time: 0.524 (0.528)	Epoch time [hr]: 0.049 (18.394)	Memory: 10.816 (14.959)	Loss: 3.3434 (9.3452)	Prec@1: 15.271 (12.025)	Prec@5: 37.476 (33.500)
Epoch: [0][340/125353]	Time: 0.522 (0.528)	Epoch time [hr]: 0.050 (18.390)	Memory: 10.816 (14.959)	Loss: 3.2817 (9.1683)	Prec@1: 15.344 (12.143)	Prec@5: 42.139 (33.716)
Epoch: [0][350/125353]	Time: 0.524 (0.528)	Epoch time [hr]: 0.051 (18.385)	Memory: 10.816 (14.959)	Loss: 3.2263 (9.0005)	Prec@1: 15.662 (12.246)	Prec@5: 43.518 (33.911)
