Epoch: 0 Step 0 	Learning rate: 0.100000
Epoch: [0][270/62676]	Time: 1.088 (1.078)	Epoch time [hr]: 0.081 (18.762)	Memory: 19.662 (28.519)	Loss: 2.7834 (7.1181)	Prec@1: 23.004 (16.090)	Prec@5: 58.929 (43.432)
Epoch: [0][280/62676]	Time: 1.075 (1.078)	Epoch time [hr]: 0.084 (18.766)	Memory: 19.662 (28.519)	Loss: 2.7784 (6.9640)	Prec@1: 23.322 (16.331)	Prec@5: 58.881 (43.978)
Epoch: [0][290/62676]	Time: 1.086 (1.078)	Epoch time [hr]: 0.087 (18.769)	Memory: 19.662 (28.519)	Loss: 2.7751 (6.8205)	Prec@1: 23.096 (16.548)	Prec@5: 59.222 (44.486)
Epoch: 0 Step 300 	Learning rate: 0.100000
Epoch: [0][300/62676]	Time: 1.077 (1.078)	Epoch time [hr]: 0.090 (18.772)	Memory: 19.662 (28.519)	Loss: 2.7680 (6.6858)	Prec@1: 23.358 (16.768)	Prec@5: 58.459 (44.963)
Epoch: [0][310/62676]	Time: 1.087 (1.078)	Epoch time [hr]: 0.093 (18.776)	Memory: 19.662 (28.519)	Loss: 3.4815 (6.5785)	Prec@1: 11.176 (16.767)	Prec@5: 41.150 (45.055)
Epoch: [0][320/62676]	Time: 1.081 (1.079)	Epoch time [hr]: 0.096 (18.778)	Memory: 19.662 (28.519)	Loss: 3.0638 (6.4728)	Prec@1: 17.371 (16.729)	Prec@5: 49.988 (45.113)
Epoch: [0][330/62676]	Time: 1.081 (1.079)	Epoch time [hr]: 0.099 (18.781)	Memory: 19.662 (28.519)	Loss: 2.9399 (6.3693)	Prec@1: 19.214 (16.759)	Prec@5: 53.430 (45.276)
Epoch: [0][340/62676]	Time: 1.079 (1.079)	Epoch time [hr]: 0.102 (18.782)	Memory: 19.662 (28.519)	Loss: 2.9013 (6.2681)	Prec@1: 21.613 (16.873)	Prec@5: 53.943 (45.529)
Epoch: [0][350/62676]	Time: 1.085 (1.079)	Epoch time [hr]: 0.105 (18.785)	Memory: 19.662 (28.519)	Loss: 2.8422 (6.1711)	Prec@1: 21.796 (17.021)	Prec@5: 56.165 (45.826)
Epoch: [0][360/62676]	Time: 1.084 (1.079)	Epoch time [hr]: 0.108 (18.787)	Memory: 19.662 (28.519)	Loss: 2.8215 (6.0785)	Prec@1: 22.644 (17.163)	Prec@5: 57.825 (46.150)
Epoch: [0][370/62676]	Time: 1.099 (1.079)	Epoch time [hr]: 0.111 (18.791)	Memory: 19.662 (28.519)	Loss: 2.8091 (5.9904)	Prec@1: 21.619 (17.302)	Prec@5: 58.258 (46.490)
Epoch: [0][380/62676]	Time: 1.082 (1.079)	Epoch time [hr]: 0.114 (18.793)	Memory: 19.662 (28.519)	Loss: 2.8393 (5.9069)	Prec@1: 22.406 (17.440)	Prec@5: 57.288 (46.800)
Epoch: [0][390/62676]	Time: 1.081 (1.080)	Epoch time [hr]: 0.117 (18.795)	Memory: 19.662 (28.519)	Loss: 2.8172 (5.8274)	Prec@1: 21.991 (17.563)	Prec@5: 57.935 (47.098)
Epoch: 0 Step 400 	Learning rate: 0.100000
Epoch: [0][400/62676]	Time: 1.079 (1.080)	Epoch time [hr]: 0.120 (18.795)	Memory: 19.662 (28.519)	Loss: 2.7982 (5.7516)	Prec@1: 22.180 (17.695)	Prec@5: 58.514 (47.390)
Epoch: [0][410/62676]	Time: 1.111 (1.080)	Epoch time [hr]: 0.123 (18.797)	Memory: 19.662 (28.519)	Loss: 2.8255 (5.6801)	Prec@1: 22.882 (17.799)	Prec@5: 57.721 (47.649)
Epoch: [0][420/62676]	Time: 1.079 (1.080)	Epoch time [hr]: 0.126 (18.798)	Memory: 19.662 (28.519)	Loss: 2.8049 (5.6127)	Prec@1: 21.307 (17.874)	Prec@5: 58.429 (47.879)
Epoch: [0][430/62676]	Time: 1.081 (1.080)	Epoch time [hr]: 0.129 (18.798)	Memory: 19.662 (28.519)	Loss: 2.8345 (5.5479)	Prec@1: 20.258 (17.951)	Prec@5: 57.928 (48.115)
Epoch: [0][440/62676]	Time: 1.083 (1.080)	Epoch time [hr]: 0.132 (18.798)	Memory: 19.662 (28.519)	Loss: 2.7696 (5.4858)	Prec@1: 23.010 (18.038)	Prec@5: 59.058 (48.349)
Epoch: [0][450/62676]	Time: 1.082 (1.080)	Epoch time [hr]: 0.135 (18.798)	Memory: 19.662 (28.519)	Loss: 2.7743 (5.4257)	Prec@1: 22.729 (18.138)	Prec@5: 58.972 (48.584)
Epoch: [0][460/62676]	Time: 1.076 (1.080)	Epoch time [hr]: 0.138 (18.799)	Memory: 19.662 (28.519)	Loss: 2.7326 (5.3678)	Prec@1: 23.773 (18.233)	Prec@5: 60.608 (48.825)
Epoch: [0][470/62676]	Time: 1.080 (1.080)	Epoch time [hr]: 0.141 (18.798)	Memory: 19.662 (28.519)	Loss: 2.8114 (5.3129)	Prec@1: 21.576 (18.318)	Prec@5: 58.685 (49.040)
Epoch: [0][480/62676]	Time: 1.081 (1.080)	Epoch time [hr]: 0.144 (18.799)	Memory: 19.662 (28.519)	Loss: 2.8461 (5.2614)	Prec@1: 20.520 (18.362)	Prec@5: 56.775 (49.224)
Epoch: [0][490/62676]	Time: 1.080 (1.080)	Epoch time [hr]: 0.147 (18.798)	Memory: 19.662 (28.519)	Loss: 2.8004 (5.2115)	Prec@1: 22.162 (18.423)	Prec@5: 57.971 (49.401)
Epoch: 0 Step 500 	Learning rate: 0.100000
Epoch: [0][500/62676]	Time: 1.080 (1.080)	Epoch time [hr]: 0.150 (18.800)	Memory: 19.662 (28.519)	Loss: 2.7860 (5.1630)	Prec@1: 22.363 (18.498)	Prec@5: 58.411 (49.587)
Epoch: [0][510/62676]	Time: 1.079 (1.080)	Epoch time [hr]: 0.153 (18.800)	Memory: 19.662 (28.519)	Loss: 2.7816 (5.1163)	Prec@1: 22.900 (18.572)	Prec@5: 58.087 (49.761)
Epoch: [0][520/62676]	Time: 1.078 (1.080)	Epoch time [hr]: 0.156 (18.799)	Memory: 19.662 (28.519)	Loss: 2.8314 (5.0725)	Prec@1: 21.759 (18.620)	Prec@5: 57.672 (49.910)
Epoch: [0][530/62676]	Time: 1.076 (1.080)	Epoch time [hr]: 0.159 (18.800)	Memory: 19.662 (28.519)	Loss: 2.7936 (5.0302)	Prec@1: 21.527 (18.674)	Prec@5: 58.368 (50.054)
Epoch: [0][540/62676]	Time: 1.076 (1.080)	Epoch time [hr]: 0.162 (18.799)	Memory: 19.662 (28.519)	Loss: 2.8091 (4.9889)	Prec@1: 20.709 (18.737)	Prec@5: 58.362 (50.201)
Epoch: [0][550/62676]	Time: 1.078 (1.080)	Epoch time [hr]: 0.165 (18.799)	Memory: 19.662 (28.519)	Loss: 2.7940 (4.9492)	Prec@1: 21.936 (18.791)	Prec@5: 58.838 (50.348)
Epoch: [0][560/62676]	Time: 1.078 (1.080)	Epoch time [hr]: 0.168 (18.799)	Memory: 19.662 (28.519)	Loss: 2.7786 (4.9106)	Prec@1: 22.778 (18.853)	Prec@5: 58.856 (50.496)
Epoch: [0][570/62676]	Time: 1.080 (1.080)	Epoch time [hr]: 0.171 (18.799)	Memory: 19.662 (28.519)	Loss: 2.7557 (4.8734)	Prec@1: 22.192 (18.914)	Prec@5: 59.320 (50.640)
Epoch: [0][580/62676]	Time: 1.074 (1.080)	Epoch time [hr]: 0.174 (18.799)	Memory: 19.662 (28.519)	Loss: 2.7500 (4.8372)	Prec@1: 23.224 (18.971)	Prec@5: 58.868 (50.781)
