Epoch: 0 Step 0 	Learning rate: 0.100000
Epoch: [0][270/125353]	Time: 0.540 (0.547)	Epoch time [hr]: 0.041 (19.049)	Memory: 11.469 (16.607)	Loss: 3.2237 (7.4742)	Prec@1: 12.646 (11.117)	Prec@5: 46.082 (34.775)
Epoch: [0][280/125353]	Time: 0.541 (0.547)	Epoch time [hr]: 0.043 (19.040)	Memory: 11.469 (16.607)	Loss: 3.0566 (7.3198)	Prec@1: 19.385 (11.333)	Prec@5: 51.379 (35.314)
Epoch: [0][290/125353]	Time: 0.540 (0.547)	Epoch time [hr]: 0.044 (19.034)	Memory: 11.469 (16.607)	Loss: 3.0028 (7.1736)	Prec@1: 19.617 (11.568)	Prec@5: 52.576 (35.869)
Epoch: 0 Step 300 	Learning rate: 0.100000
Epoch: [0][300/125353]	Time: 0.540 (0.546)	Epoch time [hr]: 0.046 (19.026)	Memory: 11.469 (16.607)	Loss: 3.1146 (7.0379)	Prec@1: 18.616 (11.803)	Prec@5: 50.415 (36.384)
Epoch: [0][310/125353]	Time: 0.539 (0.546)	Epoch time [hr]: 0.047 (19.019)	Memory: 11.469 (16.607)	Loss: 3.2441 (6.9118)	Prec@1: 10.718 (11.958)	Prec@5: 42.493 (36.815)
Epoch: [0][320/125353]	Time: 0.540 (0.546)	Epoch time [hr]: 0.049 (19.012)	Memory: 11.469 (16.607)	Loss: 7.0420 (6.8159)	Prec@1: 6.079 (12.038)	Prec@5: 19.556 (36.951)
Epoch: [0][330/125353]	Time: 0.540 (0.546)	Epoch time [hr]: 0.050 (19.007)	Memory: 11.469 (16.607)	Loss: 23.0842 (7.1769)	Prec@1: 4.602 (11.820)	Prec@5: 20.471 (36.462)
Epoch: [0][340/125353]	Time: 0.540 (0.546)	Epoch time [hr]: 0.052 (19.004)	Memory: 11.469 (16.607)	Loss: 15.7131 (7.5089)	Prec@1: 2.319 (11.650)	Prec@5: 10.144 (35.918)
Epoch: [0][350/125353]	Time: 0.541 (0.546)	Epoch time [hr]: 0.053 (18.998)	Memory: 11.469 (16.607)	Loss: 34.8621 (7.7575)	Prec@1: 0.891 (11.407)	Prec@5: 10.791 (35.458)
Epoch: [0][360/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.055 (18.994)	Memory: 11.469 (16.607)	Loss: 16.5291 (8.2116)	Prec@1: 7.227 (11.215)	Prec@5: 23.120 (35.080)
Epoch: [0][370/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.056 (18.989)	Memory: 11.469 (16.607)	Loss: 28.3163 (8.6803)	Prec@1: 4.065 (11.014)	Prec@5: 29.797 (34.664)
Epoch: [0][380/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.058 (18.984)	Memory: 11.469 (16.607)	Loss: 31.8691 (9.2080)	Prec@1: 6.506 (10.860)	Prec@5: 25.134 (34.254)
Epoch: [0][390/125353]	Time: 0.541 (0.545)	Epoch time [hr]: 0.059 (18.983)	Memory: 11.469 (16.607)	Loss: 31.0983 (9.5844)	Prec@1: 4.529 (10.709)	Prec@5: 19.336 (33.893)
Epoch: 0 Step 400 	Learning rate: 0.100000
Epoch: [0][400/125353]	Time: 0.541 (0.545)	Epoch time [hr]: 0.061 (18.979)	Memory: 11.469 (16.607)	Loss: 20.8161 (9.9653)	Prec@1: 6.860 (10.568)	Prec@5: 25.195 (33.546)
Epoch: [0][410/125353]	Time: 0.541 (0.545)	Epoch time [hr]: 0.062 (18.975)	Memory: 11.469 (16.607)	Loss: 27.7990 (10.3119)	Prec@1: 3.406 (10.454)	Prec@5: 16.626 (33.195)
Epoch: [0][420/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.064 (18.972)	Memory: 11.469 (16.607)	Loss: 12.5096 (10.5183)	Prec@1: 5.127 (10.318)	Prec@5: 36.621 (32.874)
Epoch: [0][430/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.065 (18.969)	Memory: 11.469 (16.607)	Loss: 11.1555 (10.5554)	Prec@1: 1.306 (10.217)	Prec@5: 13.538 (32.654)
Epoch: [0][440/125353]	Time: 0.541 (0.545)	Epoch time [hr]: 0.067 (18.966)	Memory: 11.469 (16.607)	Loss: 8.4838 (10.5593)	Prec@1: 6.494 (10.118)	Prec@5: 31.384 (32.458)
Epoch: [0][450/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.068 (18.963)	Memory: 11.469 (16.607)	Loss: 6.0308 (10.4944)	Prec@1: 5.286 (10.045)	Prec@5: 24.707 (32.320)
Epoch: [0][460/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.070 (18.961)	Memory: 11.469 (16.607)	Loss: 4.2434 (10.3687)	Prec@1: 5.103 (10.048)	Prec@5: 37.854 (32.366)
Epoch: [0][470/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.071 (18.958)	Memory: 11.469 (16.607)	Loss: 3.4838 (10.2293)	Prec@1: 14.856 (10.088)	Prec@5: 46.082 (32.550)
Epoch: [0][480/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.073 (18.955)	Memory: 11.469 (16.607)	Loss: 3.4657 (10.0897)	Prec@1: 16.663 (10.150)	Prec@5: 42.139 (32.746)
Epoch: [0][490/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.074 (18.952)	Memory: 11.469 (16.607)	Loss: 3.4965 (9.9548)	Prec@1: 16.382 (10.228)	Prec@5: 42.639 (32.942)
Epoch: 0 Step 500 	Learning rate: 0.100000
Epoch: [0][500/125353]	Time: 0.542 (0.544)	Epoch time [hr]: 0.076 (18.949)	Memory: 11.469 (16.607)	Loss: 3.3732 (9.8238)	Prec@1: 11.401 (10.304)	Prec@5: 40.479 (33.159)
Epoch: [0][510/125353]	Time: 0.541 (0.544)	Epoch time [hr]: 0.077 (18.947)	Memory: 11.469 (16.607)	Loss: 3.2901 (9.6978)	Prec@1: 15.381 (10.400)	Prec@5: 45.801 (33.405)
Epoch: [0][520/125353]	Time: 0.541 (0.544)	Epoch time [hr]: 0.079 (18.947)	Memory: 11.469 (16.607)	Loss: 3.4355 (9.5775)	Prec@1: 14.893 (10.482)	Prec@5: 44.897 (33.609)
Epoch: [0][530/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.080 (18.945)	Memory: 11.469 (16.607)	Loss: 3.2933 (9.4593)	Prec@1: 15.784 (10.578)	Prec@5: 45.300 (33.855)
Epoch: [0][540/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.082 (18.942)	Memory: 11.469 (16.607)	Loss: 3.4001 (9.3458)	Prec@1: 18.140 (10.674)	Prec@5: 47.693 (34.085)
Epoch: [0][550/125353]	Time: 0.541 (0.544)	Epoch time [hr]: 0.083 (18.940)	Memory: 11.469 (16.607)	Loss: 3.0890 (9.2357)	Prec@1: 15.930 (10.773)	Prec@5: 48.364 (34.325)
Epoch: [0][560/125353]	Time: 0.541 (0.544)	Epoch time [hr]: 0.085 (18.938)	Memory: 11.469 (16.607)	Loss: 3.1536 (9.1265)	Prec@1: 16.626 (10.888)	Prec@5: 47.009 (34.610)
Epoch: [0][570/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.086 (18.936)	Memory: 11.469 (16.607)	Loss: 3.4065 (9.0233)	Prec@1: 14.087 (10.994)	Prec@5: 43.555 (34.826)
Epoch: [0][580/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.088 (18.934)	Memory: 11.469 (16.607)	Loss: 3.5049 (8.9372)	Prec@1: 11.584 (11.001)	Prec@5: 44.543 (34.880)
Epoch: [0][590/125353]	Time: 0.541 (0.544)	Epoch time [hr]: 0.089 (18.933)	Memory: 11.469 (16.607)	Loss: 3.2194 (8.8414)	Prec@1: 13.416 (11.073)	Prec@5: 48.706 (35.062)
Epoch: 0 Step 600 	Learning rate: 0.100000
Epoch: [0][600/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.091 (18.931)	Memory: 11.469 (16.607)	Loss: 3.0662 (8.7468)	Prec@1: 16.321 (11.162)	Prec@5: 52.112 (35.290)
Epoch: [0][610/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.092 (18.929)	Memory: 11.469 (16.607)	Loss: 3.1805 (8.6552)	Prec@1: 16.602 (11.256)	Prec@5: 47.937 (35.500)
Epoch: [0][620/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.094 (18.927)	Memory: 11.469 (16.607)	Loss: 2.9875 (8.5662)	Prec@1: 19.617 (11.355)	Prec@5: 53.345 (35.726)
Epoch: [0][630/125353]	Time: 0.539 (0.544)	Epoch time [hr]: 0.095 (18.925)	Memory: 11.469 (16.607)	Loss: 3.0798 (8.4795)	Prec@1: 18.103 (11.469)	Prec@5: 48.010 (35.952)
Epoch: [0][640/125353]	Time: 0.542 (0.543)	Epoch time [hr]: 0.097 (18.924)	Memory: 11.469 (16.607)	Loss: 3.4160 (8.3965)	Prec@1: 18.591 (11.572)	Prec@5: 46.680 (36.153)
Epoch: [0][650/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.098 (18.922)	Memory: 11.469 (16.607)	Loss: 3.1063 (8.3157)	Prec@1: 17.944 (11.671)	Prec@5: 48.535 (36.364)
Epoch: [0][660/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.100 (18.922)	Memory: 11.469 (16.607)	Loss: 3.0770 (8.2366)	Prec@1: 17.371 (11.754)	Prec@5: 48.682 (36.573)
Epoch: [0][670/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.101 (18.920)	Memory: 11.469 (16.607)	Loss: 3.1975 (8.1603)	Prec@1: 17.957 (11.838)	Prec@5: 48.694 (36.773)
Epoch: [0][680/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.103 (18.918)	Memory: 11.469 (16.607)	Loss: 3.0552 (8.0854)	Prec@1: 18.420 (11.934)	Prec@5: 50.598 (36.979)
Epoch: [0][690/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.104 (18.917)	Memory: 11.469 (16.607)	Loss: 8.5527 (8.0235)	Prec@1: 11.243 (12.006)	Prec@5: 29.761 (37.113)
Epoch: 0 Step 700 	Learning rate: 0.100000
Epoch: [0][700/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.106 (18.916)	Memory: 11.469 (16.607)	Loss: 22.7395 (8.2007)	Prec@1: 3.577 (11.909)	Prec@5: 23.364 (36.848)
Epoch: [0][710/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.107 (18.914)	Memory: 11.469 (16.607)	Loss: 24.3545 (8.3507)	Prec@1: 3.333 (11.821)	Prec@5: 15.112 (36.644)
Epoch: [0][720/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.109 (18.913)	Memory: 11.469 (16.607)	Loss: 13.2805 (8.5759)	Prec@1: 7.373 (11.745)	Prec@5: 21.753 (36.411)
Epoch: [0][730/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.110 (18.912)	Memory: 11.469 (16.607)	Loss: 34.2482 (8.7414)	Prec@1: 2.869 (11.661)	Prec@5: 14.185 (36.183)
Epoch: [0][740/125353]	Time: 0.540 (0.543)	Epoch time [hr]: 0.112 (18.911)	Memory: 11.469 (16.607)	Loss: 16.1857 (8.9311)	Prec@1: 2.612 (11.572)	Prec@5: 15.820 (35.964)
Epoch: [0][750/125353]	Time: 0.541 (0.543)	Epoch time [hr]: 0.113 (18.910)	Memory: 11.469 (16.607)	Loss: 19.0002 (9.0298)	Prec@1: 4.980 (11.487)	Prec@5: 22.546 (35.788)
